iter	Logloss
0	0.6272461169
1	0.5745193811
2	0.5329033076
3	0.4997613266
4	0.4735797681
5	0.452899524
6	0.4363414058
7	0.4230175608
8	0.4124708098
9	0.4038699266
10	0.3969507944
11	0.3912897859
12	0.3867751772
13	0.3828785513
14	0.3798388224
15	0.3772318639
16	0.3749448623
17	0.373207341
18	0.3717329354
19	0.3704384985
20	0.3693159603
21	0.368458015
22	0.3674168531
23	0.366562586
24	0.366003531
25	0.3652501495
26	0.3647018927
27	0.3640885403
28	0.3634832449
29	0.3629839785
30	0.3624464844
31	0.362009698
32	0.3616368948
33	0.3612394062
34	0.3608000675
35	0.3605145378
36	0.3601566176
37	0.3597687918
38	0.3594638388
39	0.3591909266
40	0.3587128577
41	0.358383082
42	0.3581036005
43	0.3577107056
44	0.3573397181
45	0.3570122479
46	0.3566278213
47	0.356204046
48	0.3558872808
49	0.3556407285
50	0.355296069
51	0.3549934943
52	0.3547464179
53	0.3544914822
54	0.3540734649
55	0.3537689466
56	0.3533556754
57	0.3528605887
58	0.3525003934
59	0.352280529
60	0.3519040646
61	0.3516093365
62	0.351338703
63	0.3511102341
64	0.350736334
65	0.3503016053
66	0.3500887505
67	0.3497286796
68	0.3493014096
69	0.3490313208
70	0.3486732419
71	0.3482386867
72	0.3479040407
73	0.347632589
74	0.3473203409
75	0.3470638208
76	0.3467457713
77	0.3465178578
78	0.3462625767
79	0.3459949456
80	0.3457998528
81	0.3454635791
82	0.3452503396
83	0.3449487695
84	0.3445972072
85	0.3443480497
86	0.3440402941
87	0.3438134825
88	0.3434521548
89	0.343159307
90	0.3428006697
91	0.3425933276
92	0.3423578175
93	0.3420097322
94	0.3417890288
95	0.3415236548
96	0.3413034887
97	0.3410209414
98	0.3407196736
99	0.3405621101
100	0.3402102075
101	0.3399790747
102	0.3397148715
103	0.3394161223
104	0.3391625818
105	0.3389121663
106	0.338741815
107	0.3384054076
108	0.3381118981
109	0.3378723326
110	0.3376631948
111	0.3374861502
112	0.3372282525
113	0.3370413676
114	0.3367782529
115	0.3364695869
116	0.3360594462
117	0.3358460838
118	0.3355594201
119	0.3353162087
120	0.3349350754
121	0.3346188099
122	0.3344472038
123	0.334221709
124	0.3340284416
125	0.3338346078
126	0.3335797824
127	0.3332339316
128	0.3329781438
129	0.3326991642
130	0.3324920492
131	0.332215257
132	0.3320071013
133	0.3317406666
134	0.3315503365
135	0.3312545505
136	0.3310823427
137	0.3308707585
138	0.3305817725
139	0.3304043233
140	0.3300725259
141	0.3298863388
142	0.329685388
143	0.329505693
144	0.329274032
145	0.3289825025
146	0.3288053392
147	0.3285575257
148	0.3283409585
149	0.3281251987
150	0.3279401123
151	0.327694045
152	0.3275321045
153	0.3274052883
154	0.3271911868
155	0.3270346164
156	0.3268487196
157	0.326603324
158	0.3263859293
159	0.3260974416
160	0.325944881
161	0.3257122926
162	0.3254593973
163	0.3253063805
164	0.3251021853
165	0.3248128873
166	0.32464265
167	0.3244373382
168	0.3242690171
169	0.3239692276
170	0.3237074287
171	0.3234812211
172	0.3233194942
173	0.3231428045
174	0.3229549639
175	0.3227402916
176	0.3224707466
177	0.3223007598
178	0.322123922
179	0.3219606584
180	0.3217282958
181	0.3215832637
182	0.3213968463
183	0.3212100005
184	0.3210411888
185	0.3207440255
186	0.3205661495
187	0.320298895
188	0.3201527291
189	0.3199609982
190	0.319784245
191	0.319626254
192	0.3194348108
193	0.3192198829
194	0.3190466225
195	0.3188696432
196	0.3186838591
197	0.3184321453
198	0.3182570918
199	0.3180770529
200	0.3179175174
201	0.3176571817
202	0.3174785637
203	0.3173189947
204	0.3171176419
205	0.3168885697
206	0.3166468161
207	0.3164278027
208	0.3162336631
209	0.3160767938
210	0.3158579976
211	0.3156812291
212	0.315484512
213	0.315303722
214	0.3150088158
215	0.3148404852
216	0.3146312956
217	0.3144566453
218	0.3141825397
219	0.3140376753
220	0.3138663112
221	0.3136598832
222	0.31340034
223	0.3131951193
224	0.3129380423
225	0.3127587155
226	0.3125587582
227	0.3123257154
228	0.3121686413
229	0.3119830748
230	0.311785251
231	0.3115912647
232	0.3114461549
233	0.3112232737
234	0.3110237402
235	0.3108364346
236	0.3105715828
237	0.3104084955
238	0.31025659
239	0.3100956574
240	0.3098901657
241	0.309678955
242	0.3094898574
243	0.3093852596
244	0.3091944994
245	0.3090824412
246	0.3089386072
247	0.3087797676
248	0.3086668052
249	0.30848808
250	0.3083258303
251	0.3081010536
252	0.3079807547
253	0.3077168712
254	0.3074634582
255	0.3072984824
256	0.30712857
257	0.3068597059
258	0.3066097567
259	0.3064792015
260	0.3063241525
261	0.3061521097
262	0.3059285588
263	0.3057024468
264	0.3055690554
265	0.3054663839
266	0.3053471807
267	0.3051731452
268	0.3050358508
269	0.3049276972
270	0.3048199059
271	0.3046679181
272	0.3045198279
273	0.3043765625
274	0.3041129319
275	0.3039905454
276	0.3038387085
277	0.3036637481
278	0.3034405589
279	0.3032905984
280	0.3031075962
281	0.3029418755
282	0.3027615267
283	0.302510409
284	0.3023755469
