iter	Passed	Remaining
0	69	69274
1	87	43734
2	102	34136
3	114	28490
4	126	25113
5	139	23094
6	151	21446
7	162	20136
8	189	20914
9	261	25934
10	376	33864
11	396	32604
12	435	33057
13	448	31614
14	462	30396
15	474	29179
16	485	28098
17	497	27134
18	509	26286
19	521	25530
20	533	24858
21	545	24228
22	556	23651
23	568	23123
24	580	22628
25	591	22156
26	603	21755
27	616	21392
28	628	21044
29	640	20724
30	653	20423
31	666	20171
32	680	19951
33	693	19700
34	706	19480
35	722	19357
36	738	19221
37	752	19039
38	765	18873
39	777	18663
40	789	18471
41	801	18285
42	814	18127
43	826	17946
44	838	17785
45	849	17618
46	860	17456
47	872	17299
48	884	17167
49	896	17037
50	908	16898
51	920	16772
52	931	16651
53	944	16541
54	955	16421
55	967	16315
56	979	16209
57	991	16103
58	1003	16009
59	1016	15921
60	1030	15862
61	1043	15781
62	1054	15686
63	1066	15595
64	1078	15507
65	1089	15419
66	1101	15339
67	1113	15254
68	1124	15172
69	1135	15086
70	1147	15009
71	1161	14966
72	1173	14903
73	1185	14828
74	1196	14754
75	1208	14687
76	1219	14616
77	1230	14550
78	1242	14486
79	1255	14432
80	1267	14385
81	1280	14333
82	1292	14283
83	1305	14238
84	1320	14213
85	1334	14181
86	1347	14140
87	1360	14102
88	1373	14054
89	1384	14000
90	1396	13954
91	1408	13903
92	1420	13850
93	1432	13809
94	1444	13758
95	1455	13709
96	1467	13662
97	1480	13630
98	1495	13607
99	1510	13590
100	1524	13568
101	1537	13532
102	1549	13490
103	1560	13446
104	1572	13400
105	1583	13355
106	1595	13317
107	1609	13292
108	1622	13260
109	1634	13222
110	1645	13181
111	1657	13142
112	1669	13101
113	1682	13079
114	1697	13064
115	1711	13040
116	1723	13010
117	1737	12984
118	1749	12952
119	1760	12909
120	1772	12878
121	1785	12849
122	1797	12816
123	1809	12781
124	1821	12751
125	1833	12717
126	1845	12686
127	1857	12651
128	1869	12621
129	1881	12588
130	1893	12561
131	1906	12534
132	1917	12502
133	1929	12470
134	1941	12438
135	1952	12406
136	1964	12377
137	1976	12345
138	1987	12312
139	1999	12283
140	2012	12258
141	2023	12228
142	2037	12210
143	2048	12179
144	2060	12150
145	2071	12118
146	2083	12090
147	2095	12065
148	2107	12036
149	2118	12006
150	2131	11982
151	2142	11954
152	2154	11927
153	2168	11913
154	2180	11888
155	2193	11867
156	2205	11839
157	2216	11814
158	2228	11789
159	2240	11763
160	2252	11736
161	2264	11712
162	2276	11687
163	2287	11660
164	2299	11635
165	2311	11614
166	2324	11595
167	2338	11580
168	2351	11561
169	2363	11539
170	2375	11514
171	2386	11490
172	2399	11468
173	2411	11447
174	2425	11434
175	2437	11412
176	2448	11386
177	2460	11363
178	2472	11340
179	2484	11316
180	2496	11294
181	2507	11272
182	2519	11249
183	2531	11225
184	2543	11203
185	2554	11180
186	2566	11157
187	2577	11134
188	2589	11112
189	2602	11093
190	2614	11073
191	2626	11053
192	2639	11035
193	2650	11013
194	2664	11000
195	2677	10983
196	2691	10969
197	2702	10946
198	2714	10924
199	2725	10903
200	2738	10884
201	2749	10861
202	2761	10840
203	2772	10817
204	2784	10798
205	2796	10778
206	2807	10755
207	2819	10736
208	2831	10716
209	2842	10694
210	2854	10674
211	2866	10655
212	2878	10634
213	2890	10615
214	2904	10604
215	2915	10582
216	2927	10563
217	2938	10542
218	2951	10524
219	2962	10503
220	2974	10483
221	2986	10465
222	2997	10445
223	3009	10425
224	3020	10405
225	3032	10387
226	3044	10367
227	3056	10349
228	3069	10334
229	3081	10316
230	3093	10296
231	3104	10277
232	3116	10258
233	3127	10239
234	3139	10220
235	3151	10202
236	3162	10182
237	3175	10165
238	3186	10144
239	3196	10122
240	3208	10105
241	3220	10086
242	3231	10067
243	3243	10048
244	3254	10030
245	3266	10013
246	3278	9993
247	3290	9978
248	3302	9960
249	3314	9944
250	3326	9927
251	3338	9910
252	3350	9892
253	3363	9877
254	3377	9867
255	3390	9852
256	3401	9834
257	3414	9819
258	3425	9800
259	3437	9784
260	3449	9766
261	3460	9748
262	3472	9731
263	3484	9714
264	3496	9696
265	3507	9678
266	3519	9662
267	3530	9643
268	3542	9626
269	3554	9610
270	3565	9592
271	3577	9575
272	3589	9559
273	3601	9542
274	3613	9526
275	3625	9509
276	3636	9491
277	3657	9499
278	3669	9483
279	3681	9467
280	3692	9449
281	3704	9433
282	3716	9416
283	3728	9400
284	3740	9383
285	3751	9365
286	3763	9349
287	3775	9333
288	3787	9317
289	3799	9301
290	3811	9287
291	3823	9270
292	3835	9254
293	3847	9238
294	3859	9222
295	3870	9206
296	3883	9191
297	3894	9174
298	3906	9159
299	3918	9143
300	3930	9127
301	3942	9112
302	3954	9096
303	3966	9080
304	3978	9065
305	3990	9049
306	4001	9033
307	4013	9017
